uid,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,cd,council,ct2010,ct2020,nta2010,nta2020,facgroup,facsubgrp,factype,capacity,captype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea,geometry
387b1307ad804d46652124bf5f4ef6c9,YESHIVAT OR HATORAH ES,2959,AVENUE Y,2959 AVENUE Y,BROOKLYN,BROOKLYN,3,11235,40.59203582,-73.93868352,1001279.416,154976.988,3203616,3074230038,315,48,59600,59600,BK17,BK1503,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,0,,Non-public,Yeshivat Or Hatorah Elementary School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",22,61,Local,POINT(1001279.4159007072 154976.98804187775)
38ec060c023366e5be13dddcbecc7095,TORAH VODAATH HIGH SCHOOL,425,EAST 9 STREET,425 EAST 9 STREET,BROOKLYN,BROOKLYN,3,11218,40.63824145,-73.96936691,992751.837,171806.4345,3126938,3053930079,312,39,49200,49200,BK41,BK1203,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,0,,Non-public,Torah Vodaath High School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",22,66,Local,POINT(992751.837003231 171806.43449354172)
38f7cc7ac4043bed2923a3d85cdcd34f,LUBAVITCHER HIGH SCHOOL,841,OCEAN PARKWAY,841 OCEAN PARKWAY,BROOKLYN,BROOKLYN,3,11230,40.6278028,-73.97050283,992437.8557,168003.2471,3170485,3065090064,312,45,45800,45800,BK43,BK1204,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,0,,Non-public,Lubavitcher High School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",21,66,Local,POINT(992437.855738163 168003.24712228775)
390699080f0f7ced31c321191a9f634f,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,105,EAST 106 STREET,105 EAST 106 STREET,NEW YORK,MANHATTAN,1,10029,40.79293757,-73.9471684,998878.768,228169.8859,1052015,1016340003,111,8,17200,17200,MN33,MN1101,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,0,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",4,23,Local,POINT(998878.7680163383 228169.88594388962)
394751317d0a6e0fe5039c928aea0a6e,PRESTON HIGH SCHOOL,2780,SCHURZ AVENUE,2780 SCHURZ AVENUE,BRONX,BRONX,2,10465,40.81377254,-73.81969128,1034160.792,235807.7545,2097763,2056040032,210,13,13200,13200,BX52,BX1002,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,0,,Non-public,Preston High School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",8,45,Local,POINT(1034160.7924413681 235807.75445318222)
39f9047aac6fe54419c2837b06401a9f,PELHAM GARDENS MIDDLE SCHOOL,2545,GUNTHER AVENUE,2545 GUNTHER AVENUE,BRONX,BRONX,2,10469,40.86430641,-73.83655104,1029459.539,254209.942,2053518,2044930001,211,13,31000,31000,BX31,BX1103,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,514,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",11,49,Local,POINT(1029459.5391521454 254209.94196605682)
3a539b848f5c340987ca8ec77431b6f4,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,549,AUDUBON AVENUE,549 AUDUBON AVENUE,NEW YORK,MANHATTAN,1,10040,40.85559869,-73.92619138,1004667.946,251003.8075,1076751,1021600018,112,10,27700,27700,MN35,MN1202,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,698,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",6,34,Local,POINT(1004667.9463353157 251003.80750846863)
3a55038109567617585235b2a6d10cc6,J.H.S. 157 STEPHEN A. HALSEY,63-55,102 STREET,63-55 102 STREET,REGO PARK,QUEENS,4,11374,40.73232765,-73.8529946,1024991.995,206117.4756,4442846,4021260014,406,29,72100,72100,QN17,QN0602,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,1535,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",28,112,Local,POINT(1024991.995174408 206117.47561120987)
3a57313be5ece75d10fec054cab31b42,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),99,TERRACE VIEW AVENUE,99 TERRACE VIEW AVENUE,NEW YORK,MANHATTAN,1,10463,40.87723937,-73.91312044,1008275.988,258891.6646,1064532,1022150080,208,10,30900,30900,MN01,BX0802,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,429,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",10,50,Local,POINT(1008275.9883160591 258891.66457748413)
3a5ca1ffb7a893159402188f5b3c567e,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,1700,MACOMBS ROAD,1700 MACOMBS ROAD,BRONX,BRONX,2,10453,40.84946381,-73.91551914,1007622.401,248771.3035,2008460,2028660070,205,14,21502,21502,BX36,BX0501,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,339,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",9,46,Local,POINT(1007622.4010772705 248771.3034901619)
3aab5cda068486157b340862be99099e,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,260,PLEASANT AVENUE,260 PLEASANT AVENUE,NEW YORK,MANHATTAN,1,10029,40.79414961,-73.93311262,1002770.393,228614.1345,1053152,1017130001,111,8,17800,17800,MN34,MN1102,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,418,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",4,25,Local,POINT(1002770.3928880692 228614.13444805145)
